Most Informative Features
('\xe2', '\x80\x9d', 'crane') = True           libera : libert =      7.8 : 1.0
('\xe2', '\x80\x9c', 'actually') = True           libera : libert =      7.8 : 1.0
('go', '\xe2', '\x80\x9d') = True           libera : libert =      7.8 : 1.0
('speaker', 'john', 'boehner') = True           conser : libert =      7.6 : 1.0
('keystone', 'xl', 'pipeline') = True           libera : libert =      7.6 : 1.0
('senator', 'bernie', 'sanders') = True           libera : libert =      7.6 : 1.0
('\xe2', '\x80\x94', 'would') = True           conser : libera =      7.5 : 1.0
('last', 'week\xe2', '\x80\x99') = True           conser : libera =      7.5 : 1.0
('doesn\xe2', '\x80\x99', 'want') = True           conser : libert =      7.3 : 1.0
('world', 'trade', 'center') = True           conser : libert =      7.3 : 1.0
('martin', 'luther', 'king') = True           libera : conser =      7.0 : 1.0
('bernie', 'sanders\xe2', '\x80\x99') = True           libera : conser =      7.0 : 1.0
('trans', 'pacific', 'partnership') = True           libert : conser =      7.0 : 1.0
('\xe2', '\x80\x9d', 'declared') = True           libera : libert =      6.9 : 1.0
('climate', 'change', '\xe2') = True           libera : libert =      6.9 : 1.0
('\xe2', '\x80\x9c', 'fair') = True           conser : libera =      6.7 : 1.0
('\x80\x99', 'hard', 'imagine') = True           libera : libert =      6.6 : 1.0
('\x80\x99', 're', 'told') = True           libera : libert =      6.6 : 1.0
('democratic', 'national', 'committee') = True           libera : libert =      6.6 : 1.0
('point', '\xe2', '\x80\x9c') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9c', 'help') = True           libera : libert =      6.6 : 1.0
('correction', 'previous', 'version') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9c', 'white') = True           libera : libert =      6.6 : 1.0
('question', '\xe2', '\x80\x9d') = True           libera : libert =      6.6 : 1.0
('truth', '\xe2', '\x80\x9d') = True           libera : libert =      6.6 : 1.0
('it\xe2', '\x80\x99', 'much') = True           libera : libert =      6.6 : 1.0
('francis\xe2', '\x80\x99', 'visit') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9c', 're') = True           libera : libert =      6.6 : 1.0
('caused', 'human', 'activity') = True           libera : libert =      6.6 : 1.0
('terms', '\xe2', '\x80\x9c') = True           libera : libert =      6.6 : 1.0
('didn\xe2', '\x80\x99', 'work') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9c', 'francis') = True           libera : libert =      6.6 : 1.0
('occupy', 'wall', 'street') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9c', 'far') = True           libera : libert =      6.6 : 1.0
('\xe2', '\x80\x9d', 'though') = True           libera : libert =      6.6 : 1.0
('defense', 'intelligence', 'agency') = True           libert : libera =      6.5 : 1.0
('last', 'night\xe2', '\x80\x99') = True           libera : conser =      6.5 : 1.0
('continue', 'reading', 'main') = True           libera : libert =      6.4 : 1.0
('she\xe2', '\x80\x99', 'd') = True           libera : libert =      6.4 : 1.0
('reading', 'main', 'story') = True           libera : libert =      6.4 : 1.0
('president', 'united', 'states') = True           conser : libert =      6.4 : 1.0
('\xe2', '\x80\x94', 'much') = True           conser : libert =      6.4 : 1.0
('hampshire', 'south', 'carolina') = True           conser : libert =      6.4 : 1.0
('donald', 'trump', '\xe2') = True           conser : libert =      6.4 : 1.0
('senate', 'minority', 'leader') = True           conser : libert =      6.4 : 1.0
('\x80\x99', 'middle', 'east') = True           conser : libert =      6.4 : 1.0
('na\xc3', '\xaf', 've') = True           conser : libert =      6.4 : 1.0
('unless', 'you\xe2', '\x80\x99') = True           conser : libert =      6.4 : 1.0
('fact', '\xe2', '\x80\x9c') = True           conser : libert =      6.4 : 1.0
('like', '\xe2', '\x80\x94') = True           conser : libert =      6.4 : 1.0
('\x80\x99', 'presidential', 'campaign') = True           conser : libert =      6.4 : 1.0
('international', 'atomic', 'energy') = True           conser : libert =      6.4 : 1.0
('senate', 'majority', 'leader') = True           conser : libert =      6.4 : 1.0
('democratic', 'presidential', 'front') = True           conser : libert =      6.4 : 1.0
('democratic', 'presidential', 'nomination') = True           conser : libert =      6.4 : 1.0
('rates', 'don\xe2', '\x80\x99') = True           conser : libert =      6.4 : 1.0
('house', 'intelligence', 'committee') = True           conser : libert =      6.4 : 1.0
('\x80\x9c', 'can\xe2', '\x80\x99') = True           conser : libert =      6.4 : 1.0
    ('ex', 'im', 'bank') = True           conser : libert =      6.4 : 1.0
('\xe2', '\x80\x9c', 'can\xe2') = True           conser : libert =      6.4 : 1.0
('september', '9', '2015') = True           conser : libert =      6.4 : 1.0
('judge', '\xe2', '\x80\x9d') = True           conser : libert =      6.4 : 1.0
  ('cruz', 'r', 'texas') = True           conser : libert =      6.4 : 1.0
('\xe2', '\x80\x9c', 'possible') = True           conser : libert =      6.4 : 1.0
  ('trey', 'gowdy', 'r') = True           conser : libert =      6.4 : 1.0
('\xe2', '\x80\x94', 'he\xe2') = True           conser : libert =      6.4 : 1.0
('new', 'hampshire', 'south') = True           conser : libert =      6.4 : 1.0
('don\xe2', '\x80\x99', 'feel') = True           conser : libert =      6.4 : 1.0
('related', 'donald', 'trump') = True           conser : libert =      6.4 : 1.0
